m.07yfm5j	m.02c09n5
m.02k_cjm	m.04nsjqk	type/object/permission
m.01xrdt1	m.07yfm5j	type/type/expected_by
m.081pw	m.0g5s28b	military/military_conflict/military_personnel_involved
m.051zct1	m.09jwl	people/person/profession
m.023b87v	m.02564hg	type/object/permission
m.04gzd	m.0bc3t1	people/person/nationality
m.02n7m1	m.06kbcp	location/location/contains
m.04gzd	m.0w7djx2	people/person/nationality
m.02k76m0	m.0cnc1f	common/topic/notable_types
m.01n7	m.01xrdt1	freebase/type_profile/strict_included_types
m.01c5	m.02_3pwz	freebase/type_profile/strict_included_types
m.02ly4c	m.04y2b99	common/topic/image
m.01g93y	m.02_1y_3	freebase/equivalent_topic/equivalent_type
m.02xlh55	m.04ghln	common/topic/notable_types
m.02_3pwz	m.06whr9g	freebase/type_kind/types
m.0345h	m.0cnc1f	people/person/nationality
m.0dxtg	m.0z3w3gt	people/profession/people_with_this_profession
m.02_1y_3	m.04nsgbr	type/object/permission
m.04ghln	m.0fj9f	people/person/profession
m.014s	m.05d49	freebase/domain_profile/featured_topic
m.03sbb	m.0cnc1f	people/profession/people_with_this_profession
m.01y2hbz	m.01y2hf6	type/property/schema
m.01xrdt1	m.0y41_np	type/type/expected_by
m.029y8h7	m.02ly4c	common/topic/image
m.01y2hf6	m.01z0s4m	type/object/permission
m.01523_	m.0g5s28b	location/location/people_born_here
m.02_1y_3	m.0hzcgjg	freebase/equivalent_topic/equivalent_type
m.02_1y_3	m.0c663	common/topic/notable_for
m.02_3pwz	m.04nsf_h	type/object/permission
m.01n7	m.01nm	freebase/type_hints/included_types
m.02_ssl	m.0bc3t1	basketball/basketball_player/position_s
m.05zppz	m.0zb09sv	people/person/gender
m.0h185nv	m.0h185pw	type/property/schema
m.01xrdt1	m.01xrdv5	type/type/properties
m.0252h78	m.02564hg	type/object/permission
m.03sbs	m.0nf3q0h	people/person/children
m.01523_	m.0hr9vmd	location/location/people_born_here
m.04gzd	m.05mzx_v	people/person/nationality
m.09j9h	m.0cnc1f	people/profession/people_with_this_profession
m.02k_cjm	m.0hhslwr	freebase/valuenotation/has_value
m.02xhr73	m.0hr9vmd	people/profession/people_with_this_profession
m.0cnc1f	m.0mn6	people/profession/people_with_this_profession
m.02ly4c	m.03yw861	common/topic/notable_types
m.026p53n	m.04gzd	people/person/nationality
m.01523_	m.0sxg1f3	location/location/people_born_here
m.043ppml	m.05vz3zq	people/person/nationality
m.02j9z	m.02ly4c	location/location/containedby
m.01nm	m.04nsf_h	freebase/query_hints/related_type
m.04gzd	m.0zb09sv	people/person/nationality
m.01523_	m.0hhrnv3	location/location/people_born_here
m.02_3pwz	m.02hqglv	freebase/type_profile/published
m.03pbf	m.0g5s28b	people/deceased_person/place_of_death
m.02jknp	m.0zb09sv	people/profession/people_with_this_profession
m.025d8rl	m.0gysmp2	common/topic/notable_types
m.05zppz	m.0hr9vmd	people/person/gender
m.051zct1	m.07_jd	base/eating/diets/people_who_follow_this_diet
m.01xrdt1	m.07t4ktn	type/type/expected_by
m.01nm	m.02_3pwz	type/object/permission
m.05zppz	m.0w7djx2	people/person/gender
m.01523_	m.04ghln	location/location/people_born_here
m.01523_	m.04y8tsj	location/location/people_born_here
m.014s	m.04nsf_h	freebase/query_hints/related_domain
m.01xrdt1	m.01y2hf6	type/type/expected_by
m.01xrdt1	m.02wtsbm	type/property/expected_type
m.05v0yfw	m.05v0z1b	type/type/properties
m.04gzd	m.0ddfkml	people/person/nationality
m.0376w2	m.041l0wh	common/topic/image
m.026p53n	m.05vz3zq	people/person/nationality
m.02_3pwz	m.04nsgmr	type/object/permission
m.0376w2	m.0376w2	education/educational_institution_campus/educational_institution
m.01xrdt1	m.05z1qk2	type/type/expected_by
m.02_1y_3	m.02hpz31	freebase/type_hints/included_types
m.01523_	m.0z44km0	location/location/people_born_here
m.014s	m.01xrdt1	type/domain/types
m.0345h	m.04y8tsj	people/person/nationality
m.01523_	m.03plfd	time/time_zone/locations_in_this_time_zone
m.04y8tsj	m.09l65	people/profession/people_with_this_profession
m.04j915y	m.04nsf_h	freebase/query_hints/preferred_view
m.01xrdt1	m.01xrdty	type/type/properties
m.05zppz	m.064kksf	people/person/gender
m.02h664x	m.0sxg1f3	people/person/profession
m.01xrdt1	m.04nsf_h	type/object/permission
m.01xrdt1	m.02k_cjm	type/type/expected_by
m.01xrdt1	m.0v_dwsg	type/type/properties
m.02_1y_3	m.0kpg4	common/topic/notable_for
m.01523_	m.051zct1	location/location/people_born_here
m.04nsgbr	m.04nsgmr	type/object/permission
m.02_1y_3	m.035qyr9	freebase/type_hints/included_types
m.0156q	m.0_mtx1n	film/film/featured_film_locations
m.02_1y_3	m.02_775m	freebase/type_hints/included_types
m.01523_	m.0jyckr	location/location/people_born_here
m.01y2hf6	m.04nshwb	type/object/permission
m.01xrrch	m.0ddfkml	common/topic/notable_types
m.02zsn	m.04y8tsj	people/person/gender
m.051zct1	m.0827d	music/genre/artists
m.01y2hf6	m.01z0s3m	type/object/permission
m.0bhgzlt	m.0bhgznc	type/property/schema
m.0dxtg	m.0zb09sv	people/person/profession
m.05zppz	m.0nf3q0h	people/person/gender
m.01nm	m.02wht75	type/type/properties
m.01523_	m.026p53n	location/location/people_born_here
m.01xrdt1	m.05v0z1b	type/property/expected_type
m.01nm	m.06whr9g	freebase/type_kind/types
m.027zwd_	m.04gzd	people/person/nationality
m.02zsn	m.0z44km0	people/person/gender
m.01xpmjs	m.01y2hf6	type/object/permission
m.01523_	m.0gysmp2	location/location/people_born_here
m.01xrrch	m.0w7djx2	common/topic/notable_types
m.01xrdt1	m.04nsgbr	type/object/permission
m.01xrdt1	m.04nsgmr	type/object/permission
m.01nm	m.0hzcdlq	freebase/equivalent_topic/equivalent_type
m.01xpl0r	m.01y2hf6	type/object/permission
m.01d_h8	m.0jyckr	people/person/profession
m.02_3pwz	m.0hzckcf	freebase/equivalent_topic/equivalent_type
m.01y2hf6	m.04nsh_5	type/object/permission
m.02xlh55	m.0n5x5gm	common/topic/notable_types
m.02zsn	m.051zct1	people/person/gender
m.01523_	m.0bg8zwf	location/location/people_born_here
m.01nm	m.05j49	common/topic/notable_for
m.01n7	m.02_1y_3	freebase/type_hints/included_types
m.01xrdt1	m.0cc0z4z	type/type/expected_by
m.01xrdt1	m.02564hg	type/type/expected_by
m.02_1y_3	m.0c7hq	common/topic/notable_for
m.02_1y_3	m.0jfvs	common/topic/notable_for
m.029y8jg	m.02ly4c	common/topic/image
m.05zppz	m.0gysmp2	people/person/gender
m.09c7w0	m.0cnc1f	people/person/nationality
m.051zct1	m.0fd3y	music/artist/genre
m.04gzd	m.0hr9vmd	people/person/nationality
m.01xljxw	m.02k_cjm	type/object/permission
m.027zwd_	m.05vz3zq	people/person/nationality
m.02k_cjm	m.04nsjqv	type/object/permission
